id,title,original_title,release_date,vote_average,vote_count,popularity,genres,poster_path,overview,source
1241752,홀로 남은 아내: 리타,Rita,2024-03-22,5.979,24,91.853,드라마,https://image.tmdb.org/t/p/w500/grIFQLXXwQmjvYYfXVXCgGTMUWw.jpg,"해외로 떠난 남편을 기다리며 홀로 남겨진 리타. 끝없는 외로움은 그녀를 서서히 다른 사람의 품으로 이끌고, 남편 역시 타국에서 비밀스러운 위안을 찾는다. 재회한 두 사람은 아무 일도 없었던 듯 일상을 이어가려 하는데, 둘의 결혼은 결국 파국을 맞는다.",movie/popular
1390300,오버 유어 데드 바디,Over Your Dead Body,2026-03-14,6.547,243,96.4284,액션|코미디|스릴러,https://image.tmdb.org/t/p/w500/kZCauMzAt9eMAhLMopCqnFw1Q5k.jpg,"관계가 삐걱거리는 한 커플이 ‘다시 가까워지기’ 위해 외딴 산장으로 향하지만, 사실 둘 다 서로를 죽이려는 은밀한 속셈을 품고 있다.",movie/popular
1092936,홀리 보이,La valle dei sorrisi,2025-09-17,6.963,136,92.0132,공포|스릴러|드라마,https://image.tmdb.org/t/p/w500/wZWBXIsX3QBXf94vzCSUqlZDp57.jpg,과거의 상처를 간직한 교사 세르지오는 평온한 레미스로 전근을 간다. 새출발을 위한 장소로 안성맞춤인 마을에는 놀라운 비밀이 숨겨져 있다. 이곳의 15세 소년 마테오와 포옹하면 누구나 마음의 평안을 얻을 수 있다. 하지만 마테오에 대한 공동체의 의존이 과도해지자 세르지오는 그를 구하려고 노력한다.,movie/popular
1290821,쉘터,Shelter,2026-01-28,7.662,1243,93.177,액션|범죄|스릴러,https://image.tmdb.org/t/p/w500/tS3UZlVfESO4z8inIZXGiHNgDfE.jpg,"등대에 홀로 숨어살던 한 남자. 그 앞에 홀로 나타난 한 소녀. 이제 소녀를 지키기 위해, 그 남자의 숨겨왔던 액션 본능이 깨어난다!",movie/popular
1560681,악의 색깔: 블랙,Kolory zła: Czerń,2026-06-10,6.663,52,88.123,스릴러|미스터리|범죄,https://image.tmdb.org/t/p/w500/kqGS7zqOjMK6LsV6XjKUz5yreYZ.jpg,한적한 도시에서 한 소년이 실종된다. 사건을 조사하던 신임 검사는 오래된 실종 사건과의 예상치 못한 연관성을 밝혀내기 시작한다.,movie/popular
1486860,Haunted 3D: Echoes of the Past,Haunted 3D: Echoes of the Past,2026-06-12,0.0,0,97.2529,공포,https://image.tmdb.org/t/p/w500/2JzXsjm4xrbyHaK5VwAYuyMtsEX.jpg,,movie/popular
1273221,무서운 영화,Scary Movie,2026-06-03,5.5,292,83.8849,코미디|공포,https://image.tmdb.org/t/p/w500/reZ8NInXjMkkaOpUHcI3Pn7iaRN.jpg,,movie/popular
12104,핑크 플로이드의 벽,Pink Floyd: The Wall,1982-07-14,7.929,1654,77.0422,음악|드라마,https://image.tmdb.org/t/p/w500/aElHyIdF5jmctFGhlhhaPFsbBJC.jpg,"전쟁으로 아버지를 잃은 핑크(Pink: 봅 제도프 분)는 엄마와 단둘이 외롭게 살아간다. 늘 혼자인 핑크는 전쟁 공포증과 더불어 자유로운 사고를 가로막는 교육 제도에 적응하지 못하고 방황한다. 이런 부적응이 세상이 다 자신을 향해 쌓은 벽이라 생각한 그는 틀에 박힌 관념과 행동양식에 파괴의식을 느낀다. 성장하여 록스타가 되었지만 사람들의 박수는 참을 수 없는 짐이 되고, 사랑에도 실패한 핑크는 세상과 벽을 쌓는 자학적인 행동을 하면서 소외도디고 불안정한 생활을 지속한다.",movie/popular
1285366,사랑의 형태,愛のぬくもり,2024-07-06,5.0,3,68.198,로맨스,https://image.tmdb.org/t/p/w500/vTtq8iqEQlmgDTec9oe3YzjkOGT.jpg,"길거리에서 부딪힌 것을 계기로 몸이 뒤바뀌고 만 소설가 '타카시'와 미용사 '사토미'. 그들은 다시 원래의 몸으로 돌아갈 방법을 찾을 때까지 서로를 연기하며 생활하기로 한다. 그러던 중, 둘 다 사랑하는 사람과의 관계가 삐걱이고 있음을 알게 된다. 타인이면서 본인인 '타카시'와 '사토미'는 서로의 인생을 나아지게 하기 위한 고군분투를 시작하는데...",movie/popular
1433117,கர,கர,2026-04-30,6.1,22,80.6489,범죄|드라마|스릴러,https://image.tmdb.org/t/p/w500/uIrFdMWlJFdc1jPBP9bxeaISCDj.jpg,,movie/popular
4247,무서운 영화,Scary Movie,2000-07-07,6.414,7855,80.8573,코미디,https://image.tmdb.org/t/p/w500/7WgS8qO4KYZxjUQMs0JSFxqcYgn.jpg,"{""나는 네가 지난 할로윈 데이에 소리치는 걸보고 육감적으로 뭔가 특별한 일이 일어날 것이라는 것을 알았다!!""}  팝콘을 튀기던 드류에게 음산한 목소리의 남자에게서 이상한 전화가 걸려온다. ""공포영화를 좋아하냐?""는 괴기한 질문을 던지고, 갑자기 등장해 그녀를 해치려 든다. 달아나는 드류는 속옷바람으로 슈퍼모델인양 멋진 포즈로 취하기도 하지만 결국 집으로 오던 그녀의 아버지의 차에 치어 죽고 만다. 드류가 죽었다는 소식을 전해들은 친구 신디는 드류의 죽음에 어떤 의문이 숨어있을까를 고민하다 문득 지난 할로윈 데이에 있었던 일을 떠올리는데..  흥겨운 할로윈 데이 파티를 마치고 집으로 돌아가던 고등학교 친구들 신디, 바비와 버피, 브렌다, 그렉, 레이 등은 차안에서 정신없이 즐기다 타고 있던 차에 한 사내를 치고 만다. 쓰러진 사내는 죽지 않고 일어나지만, 어이없게도 그 사내는 날아온 콜라병을 맞고 그자리에서 즉사하고 만다. 그 끔직한 사건과 드류의 죽음에 뭔가 연관이 있다고 느낀 신디는 친구들과 자신에게도 곧 위협이 닥칠 것이라고 예감하는데...",movie/popular
1522126,1000 Men and Me: The Bonnie Blue Story,1000 Men and Me: The Bonnie Blue Story,2025-07-29,5.357,21,85.0289,다큐멘터리|TV 영화,https://image.tmdb.org/t/p/w500/5dcgoyf8nt6Xt4VSR6Nrn6nwhuz.jpg,,movie/popular
278,쇼생크 탈출,The Shawshank Redemption,1994-09-23,8.722,30570,76.5797,드라마|범죄,https://image.tmdb.org/t/p/w500/qV9BQZdiM8foEzDz0Ag5hGWE5qM.jpg,"촉망받는 은행 간부 앤디 듀프레인은 아내와 그녀의 정부를 살해했다는 누명을 쓴다. 주변의 증언과 살해 현장의 그럴듯한 증거들로 그는 종신형을 선고받고 악질범들만 수용한다는 지옥같은 교도소 쇼생크로 향한다. 인간 말종 쓰레기들만 모인 그곳에서 그는 이루 말할 수 없는 억압과 짐승보다 못한 취급을 당한다. 그러던 어느 날, 간수의 세금을 면제받게 해 준 덕분에 그는 일약 교도소의 비공식 회계사로 일하게 된다. 그 와중에 교도소 소장은 죄수들을 이리저리 부리면서 검은 돈을 긁어 모으고 앤디는 이 돈을 세탁하여 불려주면서 그의 돈을 관리하는데...",movie/popular
1363387,사카린,Saccharine,2026-05-22,6.31,21,84.1113,공포,https://image.tmdb.org/t/p/w500/wTlqMc4Jt8ZBtHh8CREblU3ajAB.jpg,"사랑에 상처받은 의대생 하나는, 인간의 유골을 먹는 기이한 다이어트에 가담한 이후 굶주린 귀신에게 시달리기 시작한다.",movie/popular
1318447,정점,Apex,2026-04-24,6.815,1473,78.2023,액션|스릴러,https://image.tmdb.org/t/p/w500/wGHGVAJGTn2BqsuFfPK8lzPiKjH.jpg,"슬픔에 잠긴 채 호주 오지로 모험을 떠난 여성. 홀로 자신의 한계를 밀어붙이던 중 목숨을 노리는 살인마를 맞닥뜨리고, 그가 교활하게 설계한 뒤틀린 게임에 속수무책으로 휘말린다.",movie/popular
1431068,मैं वापस आऊंगा,मैं वापस आऊंगा,2026-06-10,6.0,1,89.1958,로맨스|드라마,https://image.tmdb.org/t/p/w500/8n7OeeyAqwmGS81Is2c6Ho65tgW.jpg,,movie/popular
1297842,고트: 더 레전드,GOAT,2026-02-11,8.1,800,75.0943,애니메이션|코미디|가족,https://image.tmdb.org/t/p/w500/otP94vckeMXAgQxzhcRkZSeSmYv.jpg,"큰 꿈을 품은 작은 염소 윌은 세계에서 가장 빠르고 사나운 동물들이 지배하는 고강도 혼성 풀컨택트 스포츠 ‘로어볼’의 프로 리그에 합류할 단 한 번의 기회를 얻게 된다. 새 팀의 동료들은 작은 염소가 팀 명단에 오른 것을 탐탁지 않게 여기지만, 윌은 ‘작아도 충분히 해낼 수 있다’는 것을 증명하고 스포츠의 판도를 바꾸겠다는 굳은 결의를 다진다. 이를 위해 그는 지금까지 한 번도 해본 적 없는 도전에 나서야 한다.",movie/popular
