id,runtime,budget,revenue,status,tagline,director,cast_top3,collection_name,production_countries
1159559,114,45000000,213835967,Released,,케빈 윌리엄슨,"니브 캠벨, 코트니 콕스, 이사벨 메이",스크림 시리즈,United States of America
1538497,0,0,0,In Production,,"Jason Hand, Fawn Veerasunthorn","헤일리 스타인펠드, 라시다 존스, 트레이시 울만",,United States of America
1314481,119,100000000,675900000,Released,영원한 아이콘의 귀환,데이비드 프랭클,"메릴 스트립, 앤 해서웨이, 에밀리 블런트",The Devil Wears Prada Collection,United States of America
1699155,97,0,0,Released,,Jessica Dimmock,,,United States of America
1564614,88,0,0,Released,,아드리안 키아렐라,"Joe Bird, Stacy Clausen, 미아 바시코프스카",,"Australia, United States of America"
1391074,93,0,0,Released,,Jonah Feingold,"데이비드 스페이드, Theo Von, 보비 리",,
1317149,121,3730000,15564405,Released,,Kirk Jones,"로버트 아라마요, 맥신 피크, 피터 뮬런",,"United Kingdom, Ireland"
421892,0,0,0,In Production,,"Walt Dohrn, 콘래드 버논","마이크 마이어스, 에디 머피, 카메론 디아즈",슈렉 시리즈,United States of America
1212763,110,0,0,Post Production,,Sébastien Vaniček,"수헤일라 야쿠브, Tandi Wright, 헌터 두핸",,United States of America
1198994,113,40000000,94041481,Released,죽이고 싶은 상사와 무인도에 고립됐다,샘 레이미,"레이첼 맥아담스, 딜런 오브라이언, 에딜 이스마일",,United States of America
1698856,81,0,0,Released,,Marcel Walz,"Matthew Gademske, Morgan Flanagan, Jay Krymis",,United States of America
467905,105,15000000,21236094,Released,,John Patton Ford,"글렌 파월, 마가렛 퀄리, 제시카 헨윅",,"United Kingdom, France, South Africa"
1119090,113,0,2709440,Released,,"Arturo Ambriz, Roy Ambriz","Mireya Mendoza, Arturo Mercado Jr., Luis Leonardo Suarez",,Mexico
